queue_rank,score_include,title,abstract,record_id,priority_bucket
58,0.1214657396894107,Limited access to hepatitis B/C treatment among vulnerable risk populations: an expert survey in six European countriesEuropean Journal of Public Health,"<b>Background</b>: To investigate access to treatment for chronic hepatitis B/C among six vulnerable patient/population groups at-risk of infection: undocumented migrants, asylum seekers, people without health insurance, people with state insurance, people who inject drugs (PWID) and people abusing alcohol._x000D_<b>Methods</b>: An online survey among experts in gastroenterology, hepatology and infectious diseases in 2012 in six EU countries: Germany, Hungary, Italy, the Netherlands, Spain and the UK. A four-point ordinal scale measured access to treatment (no, some, significant or complete restriction)._x000D_<b>Results</b>: From 235 recipients, 64 responses were received (27%). Differences in access between and within countries were reported for all groups except people with state insurance. Most professionals, other than in Spain and Hungary, reported no or few restrictions for PWID. Significant/complete treatment restriction was reported for all groups by the majority in Hungary and Spain, while Italian respondents reported no/few restrictions. Significant/complete restriction was reported for undocumented migrants and people without health insurance in the UK and Spain. Opinion about undocumented migrants in Germany and the Netherlands was divergent._x000D_<b>Conclusions</b>: Although effective chronic hepatitis B/C treatment exists, limited access among vulnerable patient populations was seen in all study countries. Discordance of opinion about restrictions within countries is seen, especially for groups for whom the health care system determines treatment access, such as undocumented migrants, asylum seekers and people without health insurance. This suggests low awareness, or lack, of entitlement guidance among clinicians. Expanding treatment access among risk groups will contribute to reducing chronic viral hepatitis-associated avoidable morbidity and mortality.",38605,high
59,0.1184563206016287,Epidemiology of childhood diseases in an urban resettlement colony in DelhiClinical Epidemiology and Global Health,"Objective To assess the prevalence and determinants of childhood diseases which are covered under IMNCI in an urban resettlement colony in Delhi. Materials and methods A community-based cross-sectional study was carried out in Gokulpuri area in Delhi from January to December 2014 among 550 mothers/caretakers who were residing in the study area and selected by stratified random sampling. Data were collected using a pre-tested semi-structured questionnaire consisting of items on socio-demographic details and history of acute respiratory infections (ARI), diarrhoea, measles and malaria in the past 15 days. Data were analyzed by using SPSS 17. Chi-square test/Fisher's exact test was used for testing any significance of association and ""p"" value <0.05 was considered statistically significant. Results The study showed that 282 (51.2%) children were 1-5 years old and 290 (52.7%) were male. Prevalence of ARI was found to be 16% followed by diarrhoea to be 4.2% in the last 15 days. There was no case of measles in the area. 123 (22.3%) were found to be moderately malnourished. Prevalence of ARI was significantly less in exclusively breastfed children compared to not exclusively breastfed children (p = 0.002). For other childhood diseases, the difference was not statistically significant. Conclusion The childhood diseases had a considerable burden in the area. Protective factors like colostrum and exclusive breastfeeding should be promoted by raising awareness among caregivers. Intensive health education campaigns should be carried out in the area to prevent childhood diseases. Copyright © 2016 INDIACLEN",129057,high
60,0.1180946015383372,Racial and Ethnic Disparities in the Obesity ParadoxAmerican Journal of Kidney Diseases,"Obesity is a major risk factor for cardiovascular disease and worse survival in the general population. However, in patients with end-stage renal disease (ESRD), higher body mass index and indexes of body fat and muscle are associated with better survival. Furthermore, these associations, which some have described as the obesity paradox, are more consistent in African American patients being treated with hemodialysis when compared with other racial-ethnic groups. This is in view of data indicating that although the rate of progression to ESRD is faster in African American patients, they have a survival advantage after transition to ESRD when compared with their white counterparts. These observations indicate that there may be significant interaction between race/ethnicity and association of body mass index with outcomes in patients with ESRD. In addition, it is possible that mechanisms underlying improved survival in African American hemodialysis patients are partly related to the association of body mass index with outcomes observed in this patient population. Some of these potential mechanisms may include comparatively reduced risk for protein-energy wasting and malnutrition, possible salutary effects of factors that play a role in energy preservation, resistance to deleterious effects of inflammation, and enhanced muscle mass and body composition. Given that ESRD is associated with significantly increased risk for morbidity and mortality, understanding the pathophysiologic mechanisms responsible for the obesity paradox across race-ethnic populations might help identify potential therapeutic targets that can be used to improve survival in this patient population.",33299,high
61,0.1157925007306925,A realist review of advance care planning for people with multiple sclerosis and their familiesPLoS ONE,"Background Advance care planning (ACP) is reported to improve the quality of outcomes of care among those with life-limiting conditions. However, uptake is low among people living with multiple sclerosis (MS) and little is known about why or how people with MS engage in this process of decision-making. Aims To develop and refine an initial theory on engagement in ACP for people with MS and to identify ways to improve its uptake for those who desire it. Methods Realist review following published protocol and reporting following Realist and Meta-narrative Evidence Synthesis: Evolving Standards (RAMESES) guidelines. A multi-disciplinary team searched MEDLINE, PsychInfo, CINAHL, Scopus, Web of Science, Embase, Google Scholar in addition to other sources from inception to August 2019. Quantitative or qualitative studies, case reports, and opinion or discussion articles related to ACP and/or end of life discussions in the context of MS were included, as well as one article on physical disability and one on motor neuron disease, that contributed important contextual information. Researchers independently screened abstracts and extracted data from full-text articles. Using abductive and retroductive analysis, each article was examined for evidence to support or refute 'context, mechanism, and outcome' (CMO) hypotheses, using the Integrated Behaviour Model to guide theory development. Quality was assessed according to methodological rigour and relevance of evidence. Those studies providing rich descriptions were synthesised using a realist matrix to identify commonalities across CMO configurations. Results Of the 4,034 articles identified, 33 articles were included in the synthesis that supported six CMO hypotheses that identified contexts and mechanisms underpinning engagement in ACP for people with MS and included: Acceptance of their situation, prior experiences, confidence, empowerment, fear (of being a burden, of death and of dying) and the desire for autonomy. Acceptance of self as a person with a life-limiting illness was imperative as it enabled people with MS to see ACP as pertinent to them. We identified the context of MS- its long, uncertain disease trajectory with periods of stability punctuated by crisis-inhibited triggering of mechanisms. Similarly, the absence of skills and confidence in advanced communication skills among health professionals prevented possibilities for ACP discussions taking place. Conclusion Although mechanisms are inhibited by the context of MS, health professionals can facilitate greater uptake of ACP among those people with MS who want it by developing their skills in communication, building trusting relationships, sharing accurate prognostic information and sensitively discussing death and dying. Copyright © 2020 Cottrell et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",103895,high
62,0.1148679572296495,Smoking upregulates angiotensin-converting Enzyme-2 receptor: A potential adhesion site for novel coronavirus SARS-CoV-2 (COVID-19)Journal of Clinical Medicine,"The epicenter of the original outbreak in China has high male smoking rates of around 50%, and early reported death rates have an emphasis on older males, therefore the likelihood of smokers being overrepresented in fatalities is high. In Iran, China, Italy, and South Korea, female smoking rates are much lower than males. Fewer females have contracted the virus. If this analysis is correct, then Indonesia would be expected to begin experiencing high rates of Covid-19 because its male smoking rate is over 60% (Tobacco Atlas). Smokers are vulnerable to respiratory viruses. Smoking can upregulate angiotensin-converting enzyme-2 (ACE2) receptor, the known receptor for both the severe acute respiratory syndrome (SARS)-coronavirus (SARS-CoV) and the human respiratory coronavirus NL638. This could also be true for new electronic smoking devices such as electronic cigarettes and ""heat-not-burn"" IQOS devices. ACE2 could be a novel adhesion molecule for SARS-CoV-2 causing Covid-19 and a potential therapeutic target for the prevention of fatal microbial infections, and therefore it should be fast tracked and prioritized for research and investigation. Data on smoking status should be collected on all identified cases of Covid-19. Copyright © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",100071,high
63,0.1137874882366569,Trajectory of Estimated Glomerular Filtration Rate and Malnourishment Predict Mortality and Kidney Failure in Older Adults With Chronic Kidney DiseaseFrontiers in Medicine,"<b>Objective:</b> The trajectory patterns of estimated glomerular filtration rates (eGFR) in chronic kidney disease (CKD) older adults with malnourishment and their association with subsequent patient outcomes have not been elucidated. We aimed to assess the eGFR trajectory patterns for predicting patient survival and kidney failure in the elderly without or with malnourishment. <b>Materials and Methods:</b> Based on a prospective longitudinal cohort, CKD patients aged 65 years or older were enrolled from 2001 to 2013. Among the 3,948 patients whose eGFR trajectory patterns were analyzed, 1,872 patients were stratified by the absence or presence of malnourishment, and 765 patients were identified and categorized as having malnourishment. Four eGFR trajectory patterns [gradual decline (T0), early non-decline and then persistent decline (T1), persistent increase (T2), and low baseline and then progressive increase (T3)] were classified by utilizing a linear mixed-effect model with a quadratic term in time. The malnourishment was defined as body mass index < 22 kg/m<sup>2</sup>, serum albumin < 3.0 mg/dL, or Geriatric Nutritional Risk Index (GNRI) < 98. This study assessed the effectiveness of eGFR trajectory patterns in a median follow-up of 2.27 years for predicting all-cause mortality and kidney failure.",12990,high
64,0.111975600093366,Interferon-gamma inducible protein-10: not a mortality marker for COVID-19 diseaseOnline Turk Saglik Bilimleri Dergisi,"Objective: Interferon-gamma inducible protein-10 (IP-10) released from macrophages is associated with thrombosis. We aimed to investigate patients' biochemical markers following severe COVID-19, concentrating on the role of IP-10 in mortality. Materials and Methods: In our study, we retrospectively evaluated data from 88 (females, 44.3%) severe patients followed in our university hospital's intensive care unit (ICU). We obtained demographic and laboratory data from our study population's files and electronic records, including D-dimer, ferritin, uric acid, IP-10 values, and other biochemical markers. Results: The mean age of all 88 patients with COVID-19 infection followed in the ICU was 70.5 +or-10 years. The median for lymphocyte count was 1.3 (1-2.1) vs 0.8 (0.5-1.1) K/uL, ferritin 151 (90.7-255) vs 624 (296-1254) mcg/L, D-dimer 386 (293.5-650) vs 1280 (871-2245) ug/L, LDH 220 (185-286) vs 429.5 (368-560) U/L with a p-value of <0.05 in survivors vs non-survivors respectively. On the other hand, the level of IP-10 was 21.3 (13.2-31.6) vs 26.6 (11.4-43.6) pg/mL with a p-value of 0.04. Conclusion: In this study, in which non-survivors and survivors were compared in severe COVID-19 patients, it was found that ferritin and D-dimer were good predictors of mortality, while IP-10 could not be a predictor of mortality.",160220,high
65,0.1106305631534403,Real World Study of Classic Infectious Diseaseclinicaltrials.gov.,"Brief Summary This study aimed to collect and analyze clinical specimens of patients with classic infectious diseases in the real world. To investigate the epidemiological distribution of classic infectious diseases (brucellosis, epidemic hemorrhagic fever, kala-azar) and treatment options suitable for China. Detailed Description Brucellosis is present in humans and animals in nearly 170 countries and regions around the world. In the 1950s and 1960s, brucellosis was seriously prevalent in China. In the 1970s, the epidemic gradually declined. It was basically controlled in the 1980s and early 1990s, but since the mid-1990s, the epidemic has continued to rise rapidly, and brucellosis It has become one of the fastest infectious diseases reporting the rising incidence rate. In 2016, 47,139 cases were reported, with an incidence rate of 3.44/100,000. The provinces with the most reported cases are Xinjiang Uygur Autonomous Region, Inner Mongolia Autonomous Region, Shanxi Province and Heilongjiang Province. However, in the southern non-pastoral areas of Guangdong Province and Guangxi Province, brucellosis outbreaks have occurred in recent years, and the incidence rates in Henan and Fujian provinces have continued to rise. Hemorrhagic fever with renal syndrome, also known as epidemic hemorrhagic fever, is an infectious disease caused by the Hantavirus. The main clinical features are fever, exudation, hemorrhage, hypotensive shock, and kidney damage. It was once epidemic viral infection in China after viral hepatitis. In the 1980s, the number of cases reported exceeded 100,000. More than 1650,000 patients have been reported in China since 1950, including more than 47,000 deaths, with a total case fatality rate of approximately 2.89%. The number of people in the province accounted for more than 80% of the total number of people in the country. From 2004 to 2015, Shaanxi Province and the three northeastern provinces were the hardest hit areas of national hemorrhagic fever. There are reports of sporadic leishmaniasis in China, but they are rare and lack corresponding epidemiological data. In 2015, 507 new cases of visceral leishmaniasis were reported, which was a high level in the past 10 years. However, the incidence rate remains at a low level of 0.0372/100,000. In recent years, visceral leishmaniasis is mainly distributed in the northwestern part of China, and there are many cases reported in the southwestern part of the country. The three areas with the highest incidence rate are Xinjiang Uygur Autonomous Region, Gansu Province and Sichuan Province. The cases in non-endemic areas are mainly adults who go to work in popular areas, and mainly male physical workers, while the popular areas are mainly infants and young children. Copyright © 2025 clinicaltrials.gov",55831,high
66,0.1089388355263679,'Protective' silence surrounding AIDS: Reasons and implications of non-disclosure among pregnant women living with HIV in Rio de Janeiro (Brazil)Global Public Health,"The persistence of stigma surrounding AIDS remains a challenge in the epidemic's fourth decade. Based on qualitative research, this study analyses how pregnant women living with HIV/AIDS (PWLHA) experience and cope with AIDS stigma. A total of 29 semi-structured interviews were conducted with PWLHA focusing on socioeconomic profiles, the contexts in which they discovered HIV infection, experiences with health-care sites and ways of dealing with AIDS-related stigma. We recruited PWLHA at two prevention of mother-to-child transmission sites in Rio de Janeiro, Brazil. The PWLHA's testimony indicates that access to care and treatment has a profound effect on the deconstruction of their understanding of AIDS as a fatal disease. However, fear of AIDS stigma is still predominant. The law guarantees HIV non-disclosure, and women see it as a way to protect themselves from discrimination. We argue, however, that the silence surrounding HIV diagnosis perpetuates the psychosocial and structural mechanisms that reproduce stigma. We conclude that diverse sectors of society, including health-care facilities, must be involved in confronting stigma by demystifying AIDS, improving patients' knowledge of their rights, and increasing their access to material and symbolic goods. Copyright © 2016 Informa UK Limited, trading as Taylor & Francis Group.",116192,high
67,0.105461695428808,Nutrition assessment in COPD inpatientsItalian Journal of Medicine,"Background and Purpose of the study: Severe Malnutrition affects about 50% of COPD inpatients, and it is frequently associated with chronic and severe comorbidities with a relevant impact on quality of life, morbidity, and mortality. Patients who are malnourished are more likely to experience complications and longer length of stay (LOS), leading to relatively higher costs. Material(s) and Method(s): Patients consecutively admitted to the Internal Medicine ward, for acute complications of COPD, were evaluated using: anthropometric data, nutritional assessment, screening for malnutrition using NRS-2000 (Nutritional Risk Screening). Than was given a tailored diet to the single patient. Causes of hospitalization, clinical course, LOS and clinical outcomes, were recorded. Result(s): Longer LOS, elderly (mean age: male 78.5 years, female 68.5 years), earth chronic disease, diabetes, were more frequent associated with malnutrition in our series. Oral intake with caloric integration or integrative NE or NPT were given. Conclusion(s): Inpatients COPD are frequently affected by malnutrition or obesity (with severe muscle loss). Malnutrition have more complications, morbility, longer hospitalization time. We believe that it is necessary to realize a ""parallel route"" (clinical and dietary) in all COPD patients, to avoid severe complications of nutritional state (malnutrition/obesity with severe muscle loss), for a better and shorter LOS, and a better QoL. Nutritional Assessment have to continue and completed after discharge, true an Integrated Route Hospital/Primary Care.",135338,high
68,0.1035733069681481,"Prevalence of E. coli O157:H7 in water sources: an overview on associated diseases, outbreaks and detection methodsDiagnostic Microbiology & Infectious Disease","Escherichia coli O157:H7 is a zoonotic pathogen with its ability to cause human illness ranging from diarrheal disease to fatal hemolytic uremic syndrome. E. coli O157:H7 had been associated with waterborne outbreaks resulting in high morbidity and mortality worldwide. Therefore, it is important to investigate the prevalence of E. coli O157:H7 in water sources especially used for drinking and to develop the diagnostic methods for its early detection. The review describes traditional cultural methods, immunological techniques, and polymerase chain reaction (PCR)-based methods for detection of this bacterium in water sources. The current PCR-based techniques such as real-time PCR are more specific and sensitive and require less detection time (<3 hours). These methods can be applied for regular water monitoring and proper management of water sources to prevent waterborne diseases due to E. coli O157:H7.",43956,high
69,0.1026277520455483,COVID-19: A review of therapeutic strategies and vaccine candidatesClinical Immunology,"The world is engulfed by one of the most widespread and significant public health crises in decades as COVID-19 has become among the leading causes of death internationally. The novel SARS-CoV-2 coronavirus which causes COVID-19 has unified the scientific community in search of therapeutic and preventative solutions. The top priorities at the moment are twofold: first, to repurpose already-approved pharmacologic agents or develop novel therapies to reduce the morbidity and mortality associated with the ever-spreading virus. Secondly, the scientific and larger pharmaceutical community have been tasked with the development, testing, and production of a safe and effective vaccine as a longer-term solution to prevent further spread and recurrence throughout the populace. The purpose of this article is to review the most up-to-date published data regarding both the leading pharmacological therapies undergoing clinical trials and vaccine candidates in development to stem the threat of COVID-19. Copyright © 2020 Elsevier Inc.",88234,high
70,0.1025968087299766,Leveraging epidemiological principles to evaluate Sweden's COVID-19 responseAnnals of Epidemiology February,"In the response to COVID-19, countries have implemented response strategies along a continuum of population- and venue-level specificity ranging from suppression to mitigation strategies. Suppression strategies generally include population-wide shelter-in-place mandates or lockdowns, closure of nonessential physical venues, travel bans, testing and contact tracing, and quarantines. Sweden followed a mitigation strategy focused on risk-tailored approaches to mitigate specific acquisition risks among the elderly, minimizing the disruption to education and the delivery of other health care services, and recommendations for social distancing to minimize the disease burden. To date, Sweden has reported higher case counts and attributable mortality than other Scandinavian countries and lower than other Northern European countries. However, there are several limitations with comparison given heterogeneity in testing strategies, suspected and confirmed case definitions, and assessment of attributable mortality. The decisions in Sweden also reflect social priorities such as equity being a foundational principle of Swedish social systems. Consistently, in-person education for those aged less than 16 years continued throughout. Notably, the mitigation strategy did not eliminate the inequitable impacts of COVID-19 cases and mortality in Sweden with higher-exposure and generally lower-income occupations being associated with higher risks intersecting with these communities often residing in more dense multigenerational households. From January 1 to November 15, there has been a 1.8% increase in all-cause mortality in 2020 compared with the average of 2015-2019, representing an excess of 14.3 deaths per 100,000 population. However, the final assessment of excess deaths in Sweden in 2020 including stratification by age and integration of secular trends can only be calculated in the coming years. In response to increasing cases in the fall of 2020, Sweden has continued to leverage business-oriented regulations and public-oriented guidelines for social distancing rather than police-enforced mandates. Ultimately, pandemics present no winners. Countries have implemented a range of different COVID-19 prevention and mitigation strategies responsive to their own priorities and legal systems including equity and the balancing of competing health priorities. Given these varied approaches, countries that pursued elimination, suppression, or mitigation strategies can collaboratively learn from both successes and challenges of the different strategies to inform COVID-19 and future pandemic responses.",147466,high
71,0.1001293841850417,"Weight, nutrition, quality of life-Perspective of oncological patients. [German]Innere Medizin (Germany)","Nutrition is associated with pleasure and quality of life. The majority of oncological patients experience tumor-associated and treatment-associated nutrition-related symptoms and malnutrition. Consequently, the perception of nutrition during the course of the disease is increasingly more characterized by negative associations, which may persist for years after the end of treatment. This leads to a decreased quality of life, social isolation and a burden for relatives. In contrast, weight loss is initially positively perceived, especially by patients who previously perceived themselves as being overweight, until malnutrition becomes evident and leads to a decreased quality of life. Nutritional counseling can prevent weight loss, relieve adverse side effects, improve the quality of life and reduce mortality. Patients are not aware of this and the German healthcare system lacks structured and firmly established access pathways to nutritional counseling. Therefore, oncological patients need to be informed about the consequences of weight loss at an early stage and low-threshold access to nutritional counseling needs to be comprehensively implemented. Thus, malnutrition can be recognized and treated at an early stage and nutrition can contribute to a higher quality of life as a positively perceived daily activity. Copyright © 2023, The Author(s), under exclusive licence to Springer Medizin Verlag GmbH, ein Teil von Springer Nature.",72523,high
72,0.0998895126965096,Preventing Urban Firearm Homicides during COVID-19: Preliminary Results from Three Cities with the Advance Peace ProgramJournal of urban health : bulletin of the New York Academy of Medicine,"The years 2020-2021 during the COVID-19 pandemic witnessed increases in firearm violence in many cities across the USA. We present data from Sacramento, Stockton, and Richmond, California that suggests firearm homicides during the pandemic did not increase in all communities or disproportionately burden the African American community. More specifically, we found that in these cities, there was a 5-52% decrease in gun homicides during the 2020/2021 period compared to the 2018/2019 period for neighborhoods with a gun violence prevention program operating there. We also found a 24-83% reduction in gun homicides in census tracts with > 20% Black populations in Sacramento and Stockton during the 2020/2021 period compared to the 2018/2019 period. In two cities, there was a 15-42% decrease in the number of African American men under 35 years old that were victims of a gun homicide in 2021 compared to 2018. We also found that the gun violence program operating in these cities called Advance Peace interrupted 202 street-level conflicts where guns were present across the three cities in 2020/2021 compared to 178 of the same conflicts in 2018/2019. These interruptions likely saved hundreds of lives and we estimate contributed to between US $65 and $494 million in savings. Advance Peace is a program that engages those at the center of gun violence, frequently young, Black men under 35 years old, and offers them the Peacemaker Fellowship, an intensive, 18-month program of 24/7 mentorship, social services, and life opportunities. The program is delivered by community resident ""credible messengers,"" who conduct the mentorship and interrupt conflicts in the streets. While these findings are descriptive and preliminary, we know of no other program that was in operation before and during the pandemic in each of these cities that engaged the hard-to-reach but highly influential population at the center of gun violence. Copyright © 2022. The New York Academy of Medicine.",78783,high
73,0.0998736093410186,Vitamin D and Calcimimetics in Cardiovascular DiseaseSeminars in Nephrology,"Cardiovascular disease has earned its place as one of the leading noncommunicable diseases that has become a modern-day global epidemic. The increasing incidence and prevalence of chronic kidney disease (CKD) has added to this enormous burden, given that CKD is now recognized as an established risk factor for accelerated cardiovascular disease. In fact, cardiovascular disease remains the leading cause of death in the CKD population, with significant prognostic implications. Alterations in vitamin D levels as renal function declines has been linked invariably to the development of cardiovascular disease beyond a mere epiphenomenon, and has become an important focus in recent years in our search for new therapies. Another compound, cinacalcet, which belongs to the calcimimetic class of agents, also has taken center stage over the past few years as a potential cardiovasculoprotective agent. However, given limited well-designed randomized trials to inform us, our clinical practice for the management of cardiovascular disease in CKD has not been adequately refined. This article considers the biological mechanisms, regulation, and current experimental, clinical, and trial data available to help guide the therapeutic use of vitamin D and calcimimetics in the setting of CKD and cardiovascular disease.",34379,high
74,0.0981867887509322,Health Workforce Shortages: Do Global Healthcare Dollars Equate to Workforce Sense?Journal of Perinatal and Neonatal Nursing,,64430,high
75,0.0956794619601324,A simultaneous simulation of human behavior dynamics and epidemic spread: A multi-country study amidst the COVID-19 pandemicMathematical Biosciences,"The transmission dynamics of infectious diseases and human responses are intertwined, forming complex feedback loops. However, many epidemic models fail to endogenously represent human behavior change. In this study, we introduce a novel behavioral epidemic model that incorporates various behavioral phenomena into SEIR models, including risk-response dynamics, shifts in containment policies, adherence fatigue, and societal learning, alongside disease transmission dynamics. By testing our model against data from 8 countries, where extensive behavioral data were available, we simultaneously replicate death rates, mobility trends, fatigue levels, and policy changes, both in-sample and out-of-sample. Our model offers a comprehensive depiction of changes in multiple behavioral measures along with the spread of the disease. We assess the explanatory power of each model mechanism in capturing data variability. Our findings demonstrate that the comprehensive model that includes all mechanisms provides the most insightful perspective for understanding the influence of human behavior during pandemics.",5036,high
76,0.0953147890037131,Mortality and Re-Amputation Rates Following Below Knee Amputation: A Systematic Review and Meta-AnalysisBritish Journal of Surgery,"Aim: Below knee amputation (BKA) is undertaken in patients with diabetes or peripheral vascular disease, when limb sparing medical optimisation or vascular interventions are no longer feasible. Mortality and proximal re-amputation rates are poorly defined in the literature. We sought to perform a systematic review to examine mortality and reputation rates across the current literature. Method(s): A systematic search was performed of the MEDLINE (via Pubmed), EMBASE, Cochrane and clinicaltrials.gov databases from inception to August 25th, 2022. Articles were screened by two independent reviewers with conflicts reserved by a third party. Inclusion criteria were all non-traumatic causes of lower limb amputation. Outcomes of interest included Mortality and occurrence of more proximal amputation. Result(s): Studies from 12 countries encompassing a total of 41832 patients were included for analysis. Study dates ranged from 1987 to 2019. Of the total patient number, 38577 (92.2%) were from the USA, with 2599 (6.2%) from Europe and 656 (1.6%) remainder. The mean age at BKA was 70.46 years (Range 62-86). Weighted mortality was 37% (Range 4%-29%) at 1 year, 58% (Range 12% - 60%) at 2 years, 65% (range 19% - 81%) at 5 years and 84% (Range 71-96%) at 10 years. Five studies reported re-amputation rate at any time point (13% Range 1.16- 22%). Conclusion(s): Mortality following BKA is still poor, even in contemporary studies. The few large multicentre studies are US based and in military veteran populations. More robust UK focused studies are needed to accurately inform clinical decision making for patients and clinicians.",49042,high
77,0.0937830179605516,Acute complications in children with sickle cell disease: Prevention and managementPaediatrics and Child Health (Canada),"Sickle cell disease (SCD) is a chronic, multi-system disease that requires comprehensive care. The sickling of red blood cells leads to hemolysis and vascular occlusion. Complications include hemolytic anemia, pain syndromes, and organ damage. Patterns of immigration and an increase in newborn screening mean that paediatric health care providers across Canada, in small and large centres alike, need to be knowledgeable about SCD. This statement focuses on principles of prevention, advocacy, and the rapid treatment of common acute complications. Guidance includes the current status of newborn screening, recommendations for immunizations and antibiotic prophylaxis, and an introduction to hydroxyurea, a medication that reduces both morbidity and mortality in children with SCD. Case vignettes demonstrate principles of care for common acute complications of SCD: vaso-occlusive episodes (VOE), acute chest syndrome (ACS), fever, splenic sequestration, aplastic crises, and stroke. Finally, principles of blood transfusion are highlighted, along with indications for both straight and exchange blood transfusions. Copyright © 2021 Canadian Paediatric Society 2022. Published by Oxford University Press on behalf of the Canadian Paediatric Society. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.",80183,high
78,0.093628516539633,The healthcare burden imposed by children with gastroparesis and the shift imposed by COVID-19Frontiers in Pediatrics,"Goals: We aim in this study to report the trend of annual economic burden of children admitted with Gastroparesis (GP) over the last 10 years and evaluate the possible effect of COVID-19. Background(s): Inpatient healthcare utilization by children with GP was last reported between 2004 and 2013. Since then, the effect of the COVID-19 pandemic has not been evaluated. Study: We used the Pediatric Health Information System (PHIS) database to retrieve data recorded in 42 children's hospitals between January 2014 and September 2023 with GP being a primary or secondary diagnosis. Result(s): A total of 20,293 pediatric gastroparesis admissions were documented. The total cost was $1,323,541,518. The average admission cost was $65,222 and the median was $18,921. Reviewing the possible effect of COVID-19, we found that the highest annual mean and median costs were in 2020, and the highest annual total cost was in 2022. The costs are divided over 6 different categories: clinical, imaging, lab, pharmacy, supplies, and others, with the highest impacts resulting from these 3 categories: clinical, pharmacy, and others. The mean and median costs differ in the 4 regions, Northeast, South, Midwest and West, with the highest in the Midwest. Of all the admissions, 15.6% had a code for nasogastric tube (NG) present, 40.7% used the code for a gastrostomy tube (G-tube), 10.0% had a code for a jejunostomy tube (J-tube) and 24.6% required nutrition support via surgical feeding tubes. Conclusion(s): This PHIS database study confirms an upward trend in the annual healthcare utilization by children admitted with GP, resulting in an upward trend in the total economic burden on children's hospitals emphasized by the COVID-19 pandemic. Copyright 2025 Sadaka, Xu, Benitez, Orians, Pearlstein and Mousa.",57357,high
79,0.0916934602061954,The new HIV/AIDS program in Peru: the role of prioritizing and budgeting for resultsThe new HIV/AIDS program in Peru: the role of prioritizing and budgeting for results,"This study aims to evaluate and develop recommendations on how the HIV/AIDS program in Peru can achieve better Value for Money. In Peru, the HIV epidemic concentrates mostly among men who have sex with men (MSM), with AIDS being the first cause of death for men ages 30-49 in 2010 and the second cause of death for women aged 25-34 (BOD, 2013). UNAIDS (2013) estimates there were 76,000 people living with HIV/AIDS (PLWA) in 2012, and this study estimates 67,000 PLWA in 2013. The Ministry of Health reports that 27,502 PLWA currently receive ART, a 43-48 percent coverage of eligible people, and 66 percent coverage of all diagnosed eligible individuals (WHO, 2013 guidelines). In 2011, there was a transition from international to domestic public funding, which increased from US$17.7 million in 2005-10 to US$57.8 million in 2011-13. The main achievements of the Peru HIV/AIDS program to date include: (i) collaboration with NGOs to provide ART; (ii) free provision of ART; (iii) educating poor women on mother to child HIV transmission; and (iv) access to reduced ARV prices through the PAHO Drug Fund. Major challenges include: (i) limited testing and laboratory capacity in the provinces; (ii) less than half of the budget is allocated to high-risk groups; (iii) wage bill issued by other programs and; (iv) limited number of community health workers (CHWs) for IEC. This study recommends targeting high-risk groups with proactive testing, promotion of condom use, and supervised ART administration by CHWs to close the coverage gap. In addition, there is a need to expand coverage of rapid testing points through greater diversity of contractual arrangements with NGOs and the private sector, which can only be achieved with the support of a human resources plan that centrally positions CHWs in HIV prevention and ARV treatment.",178815,high
80,0.0912571216619709,Excess fatal overdoses in the United States during the COVID-19 pandemic by geography and substance type: March 2020-August 2021American Journal of Public Health,"Objectives. To assess heterogeneity in pandemic-period excess fatal overdoses in the United States, by location (state, county) and substance type. Methods. We used seasonal autoregressive integrated moving average (SARIMA) models to estimate counterfactual death counts in the scenario that no pandemic had occurred. Such estimates were subtracted from actual death counts to assess the magnitude of pandemic-period excess mortality between March 2020 and August 2021. Results. Nationwide, we estimated 25 668 (95% prediction interval [PI] = 2811, 48 524) excess overdose deaths. Specifically, 17 of 47 states and 197 of 592 counties analyzed had statistically significant excess overdose-related mortality. West Virginia, Louisiana, Tennessee, Kentucky, and New Mexico had the highest rates (20-37 per 100 000). Nationally, there were 5.7 (95% PI = 1.0, 10.4), 3.1 (95% PI = 2.1, 4.2), and 1.4 (95% PI = 0.5, 2.4) excess deaths per 100 000 involving synthetic opioids, psychostimulants, and alcohol, respectively. Conclusions. The steep increase in overdose-related mortality affected primarily the southern and western United States. We identified synthetic opioids and psychostimulants as the main contributors.",159841,high
